years_experience,annual_salary
13.94,69481.24
9.27,51795.19
11.22,54889.17
5.08,37745.7
8.07,74593.8
6.4,34695.29
16.49,72035.71
14.87,76605.35
5.68,60668.16
15.24,84289.71
1.88,43993.98
4.05,36099.45
2.13,21325.71
4.76,38083.52
4.52,39835.94
18.01,88126.48
6.55,46205.39
7.1,54591.13
2.0,26287.21
1.32,22201.5
4.39,30720.18
2.69,36058.44
6.89,49968.71
3.72,46754.49
3.56,49847.91
12.95,60668.57
18.84,91135.59
0.25,24230.86
14.11,62095.09
13.18,66918.49
11.7,78486.75
13.85,68399.25
10.17,54217.08
18.54,89467.82
3.16,43369.27
9.47,55711.19
13.06,71734.18
18.17,70332.12
9.75,63699.1
19.54,95158.79
13.13,78031.24
13.98,59003.88
16.36,79854.64
14.68,84087.74
10.45,57128.39
15.45,79491.62
0.71,24224.3
18.66,87212.72
16.46,91957.56
12.75,58249.14
1.38,29410.61
5.9,47658.76
5.07,50258.78
5.14,42016.11
13.44,79798.21
17.52,85892.64
13.63,73670.46
7.78,52863.89
19.38,98088.77
17.25,89714.62
13.71,64074.82
7.95,54558.77
13.68,77193.21
8.16,65253.51
3.1,27793.84
12.38,72626.0
13.96,71084.09
6.99,50986.12
18.59,81463.56
17.09,84691.11
11.66,68351.08
1.2,21455.49
0.34,37795.2
12.8,57438.26
16.28,86266.86
10.01,40597.18
0.47,24604.29
2.9,38975.12
4.22,45488.17
12.56,68099.92
9.72,57091.17
2.04,36694.02
10.03,67722.51
17.39,96901.41
8.78,45411.54
3.0,33878.2
11.56,47912.3
18.59,79117.01
2.32,27480.78
3.13,42868.64
11.34,60831.85
6.8,46488.05
17.91,90089.49
14.26,69528.98
2.94,19338.74
17.41,79982.88
12.85,68994.66
9.87,63302.11
5.13,41307.14
12.99,74094.41
17.97,95291.66
0.77,36657.84
7.5,52638.98
18.71,81398.89
7.66,41843.54
0.72,18295.98
2.03,23502.0
13.82,74148.45
14.0,89107.98
2.3,34748.4
4.38,39673.16
11.28,72166.23
13.73,66428.8
3.14,44311.6
9.13,64690.08
11.24,64814.44
0.99,45229.21
4.48,49584.8
18.38,89685.82
17.6,85449.49
6.45,44118.53
17.36,84712.48
12.65,68464.25
19.63,91157.63
19.32,90923.57
12.34,58645.7
9.36,53203.65
2.85,22181.58
10.61,65440.01
7.97,53521.38
12.91,69211.79
1.79,38354.23
16.7,76535.89
19.34,87011.38
4.19,27805.69
12.66,77479.01
16.04,85979.95
11.09,74445.34
18.71,103141.15
10.24,57435.75
5.41,38249.13
9.43,43648.29
9.76,50366.74
5.07,40160.55
15.74,63599.12
12.35,59623.61
7.41,50263.11
8.43,61663.44
7.43,45282.44
8.96,57376.74
10.56,76876.68
6.62,33716.54
16.36,90957.96
18.57,93031.88
10.46,71728.27
14.23,82530.53
18.61,84832.12
3.84,38450.18
3.79,26596.23
1.45,25899.28
8.84,56181.19
6.62,50609.02
11.21,70552.87
9.02,69238.22
3.8,34829.21
7.82,61540.77
0.58,29161.2
10.75,52157.6
5.42,42770.98
2.25,33792.16
1.32,22916.4
14.29,66686.9
4.95,33720.57
13.18,66767.4
16.31,75168.56
10.0,69842.27
2.66,14704.79
12.29,68908.52
1.43,34239.04
16.34,74497.45
15.23,76452.5
8.04,50409.02
5.38,43217.64
14.19,79972.29
11.34,69291.74
2.9,30356.63
15.18,66107.48
6.68,49698.81
17.88,82315.94
16.59,78840.74
5.52,46094.49
5.11,39387.19
7.96,55305.99
16.09,101416.67
2.61,39632.54
6.32,57882.76
13.18,75224.7
0.67,27961.28
1.12,33121.53
15.24,82170.44
10.45,68466.45
11.15,64507.09
4.98,31953.95
10.64,50479.72
10.9,66840.27
8.28,44954.44
19.29,98001.04
0.99,39157.71
8.3,52279.68
17.15,94714.84
4.13,41510.39
18.7,90657.18
8.51,55367.13
3.13,29315.13
1.86,23847.89
6.54,34742.54
18.39,83515.9
18.78,107851.84
11.27,52481.59
2.36,23861.02
9.13,50516.75
8.36,48173.94
4.62,43329.35
1.52,25427.77
7.63,50122.04
7.44,44233.85
14.08,70476.8
7.88,52118.46
0.26,24842.92
0.4,42247.42
13.75,72900.59
13.22,69577.07
3.21,16248.95
17.32,87555.16
13.25,55582.91
3.08,40197.41
5.75,46272.24
19.47,99539.58
8.15,48466.82
4.74,41789.89
10.48,67095.25
4.11,31952.24
15.83,85300.46
15.89,85115.21
16.02,79980.08
12.35,80837.13
13.88,77707.57
6.43,34105.01
17.58,94431.66
2.88,29826.45
5.09,49195.55
19.85,96852.31
19.21,71093.83
10.15,65372.36
9.98,58164.29
2.34,29501.85
13.19,67797.92
0.62,33483.3
6.29,39634.09
8.37,63193.59
17.88,75421.77
19.37,95157.24
19.48,99359.39
15.98,86901.78
5.8,46772.42
0.91,26520.19
8.51,50393.36
5.95,36038.38
13.1,65377.94
7.42,43283.05
17.82,78350.39
7.48,65611.99
7.56,37704.31
15.18,87142.39
11.8,56409.87
5.11,34693.18
13.53,64060.46
11.26,55525.75
2.08,39667.0
9.35,62415.4
18.37,87448.49
4.24,61484.4
8.29,53889.39
5.52,44795.49
10.74,57099.32
19.5,86820.04
6.2,42424.89
16.66,90112.3
16.77,88249.69
5.19,53483.91
15.45,73345.85
19.76,98884.61
19.08,94225.54
12.11,70875.45
3.03,28711.54
2.39,25044.07
5.34,47990.58
12.03,74074.64
7.72,47089.34
13.98,78803.75
15.76,89739.48
3.61,34735.13
18.11,76860.09
1.21,18729.79
5.3,38132.79
16.3,78467.89
3.67,37572.14
4.4,40283.09
19.51,91117.06
18.25,94299.38
16.26,75806.96
3.48,47283.47
5.1,50380.21
4.7,48396.2
3.78,32962.66
19.41,91999.87
3.32,42404.72
14.93,75670.61
1.02,22977.83
10.88,57152.35
1.42,24435.03
1.24,20035.25
4.6,64079.11
18.51,74173.68
12.78,61871.79
13.03,75366.29
5.95,40384.69
14.47,72839.46
13.63,75870.19
9.23,65576.81
13.65,70595.02
17.34,93075.71
19.21,78647.29
19.93,89913.76
9.77,63140.4
0.66,43078.25
4.58,33319.34
3.94,29647.89
6.01,48768.93
7.21,50660.6
13.37,66059.94
10.51,52064.72
12.99,66370.98
19.44,97198.67
0.98,25769.43
0.29,35377.21
13.31,63265.72
10.93,68049.8
9.65,61020.23
17.07,81503.59
3.18,42786.24
11.47,55415.07
18.64,85806.34
8.92,52898.62
11.6,68646.41
1.4,34946.58
6.98,42921.38
0.83,20249.12
11.45,65694.94
11.81,54032.0
19.02,99621.51
12.77,67897.77
0.06,15852.48
16.66,73811.8
6.59,50581.02
14.29,77287.61
5.28,37334.52
15.2,77304.75
18.55,80890.7
1.59,28485.01
10.89,74909.67
10.81,79872.63
5.73,43356.56
6.83,52371.94
13.52,75469.94
5.85,31714.49
0.61,17945.06
15.38,60317.9
12.5,72356.09
5.01,58094.91
19.23,100834.56
17.97,88245.96
19.29,91734.44
10.24,58037.59
4.7,49939.0
3.48,38893.3
18.97,91896.33
17.82,78531.78
14.82,81674.23
10.21,59536.16
7.69,55084.28
14.07,82233.77
0.19,12587.99
10.49,59334.56
13.57,68981.25
15.08,73533.19
9.02,47640.56
14.9,71339.57
1.92,22921.31
4.67,47928.53
2.89,38142.21
6.8,51253.28
6.88,33677.7
7.48,66766.52
9.32,54339.52
8.73,69500.41
9.81,65326.09
15.05,75828.46
2.84,51286.81
7.01,54088.5
0.0,23182.7
0.56,23847.24
12.13,75705.1
17.52,82028.03
6.12,43385.16
8.04,48357.09
4.2,33646.2
2.86,29440.24
17.68,101066.53
11.44,73109.01
14.1,76223.86
17.64,82352.42
11.77,61776.55
3.61,34686.91
14.27,89243.81
14.96,79673.75
8.28,59956.71
12.34,69775.66
9.69,51833.4
6.66,49130.46
13.45,63462.47
4.95,51884.35
6.55,41933.98
8.11,48823.08
12.29,74528.84
17.04,79067.75
12.3,66291.72
14.52,54724.17
5.85,42905.22
11.75,70873.39
2.08,27258.41
9.27,61903.28
13.8,73162.26
3.59,46283.25
18.04,82266.95
8.34,52271.09
13.42,60222.69
9.4,57156.01
14.65,72885.64
11.69,73582.17
2.45,28582.19
18.49,86340.18
13.2,65802.8
9.44,58262.38
13.53,88270.46
5.22,15280.99
15.38,78444.68
8.22,63180.9
16.1,77235.99
5.48,48399.7
15.81,89738.6
18.13,86259.03
19.62,85437.91
15.53,86853.0
14.08,78243.89
10.4,60896.98
2.11,37291.38
11.2,71872.43
11.27,64003.55
1.29,31975.03
13.81,214341.73
2.98,31731.03
11.93,76266.61
9.45,49837.07
17.5,85203.8
4.64,47397.15
3.42,28533.06
11.02,70552.61
9.2,58739.36
3.23,46892.26
12.27,72862.13
18.12,87105.01
14.81,78670.61
4.19,41809.17
4.77,57874.66
11.15,64706.81
13.55,71322.25
19.58,91965.93
2.1,33848.23
10.93,54169.65
19.75,91054.09
2.22,24665.69
19.45,86028.09
9.24,63785.26
14.35,75427.45
8.51,48834.15
16.82,82670.84
18.17,86627.83
3.33,37088.1
14.94,65250.13
0.41,17721.68
5.54,32848.52
11.05,56467.22
12.06,61442.58
7.31,42292.28
5.41,50046.0
3.43,51735.1
4.79,48384.54
2.6,29592.7
5.22,44963.12
16.43,81958.25
5.75,40256.0
18.15,99135.96
4.9,58223.74
9.84,47677.4
3.35,48252.03
0.34,21468.78
12.51,66689.27
6.76,50905.03
6.9,61536.52
8.16,55792.64
15.56,82742.83
7.99,59808.85
1.73,39137.6
5.58,48601.83
11.52,73467.78
19.87,89760.96
2.86,21144.44
6.47,62241.6
9.71,50690.05
18.89,86854.29
2.17,29937.32
15.88,76536.43
14.46,69797.65
6.13,50159.33
15.48,82956.58
11.5,70200.67
3.43,41452.81
5.71,41668.33
6.57,44637.21
6.46,56565.6
14.93,73074.5
13.21,66890.63
16.4,89825.84
10.22,60607.04
7.01,45496.68
1.36,25777.66
15.89,89598.7
1.5,34922.02
6.03,47994.81
13.38,62491.14
15.28,80418.23
1.37,28093.54
12.15,60233.67
2.74,29786.97
15.14,83576.05
14.6,86029.08
14.96,68904.76
1.28,22012.88
11.19,69712.85
4.82,38585.93
9.92,64128.57
19.79,90877.65
1.81,35949.06
11.88,55593.79
3.3,40944.6
10.2,43909.67
10.42,68865.61
9.12,56663.64
12.79,73302.95
19.48,95090.47
16.1,67718.53
19.17,103031.28
3.79,40937.6
19.86,100576.68
6.1,39967.73
0.68,29317.8
8.72,45057.34
4.92,43427.61
15.24,70831.92
1.74,71143.77
10.96,68201.5
5.79,55904.65
4.13,37474.63
17.51,89486.74
10.31,68328.11
6.51,39199.06
14.92,71847.61
17.06,92503.36
8.84,54201.73
3.64,31767.39
19.89,89555.86
7.18,40348.55
4.11,23710.55
2.07,18662.59
2.48,34035.4
18.86,96385.92
18.93,111417.71
10.16,60224.23
13.84,63209.79
16.65,83057.21
11.15,69645.27
13.34,79930.13
19.34,100153.13
3.45,41659.74
2.78,35477.2
15.06,83606.72
14.07,64754.42
3.72,21951.3
6.05,62915.06
13.71,72591.69
9.89,63876.76
17.87,65129.3
16.74,95960.02
9.74,68345.31
13.34,59155.67
12.87,67503.82
1.84,33575.33
8.51,44681.16
8.8,59701.75
17.95,96180.71
17.71,89563.28
1.15,16504.68
16.9,75868.03
12.23,66827.4
0.32,24139.25
7.63,49881.6
17.76,85049.12
7.16,35644.25
13.53,78796.5
11.31,69614.48
11.8,70469.2
9.62,62093.75
9.65,56491.05
18.05,83328.61
8.28,45826.23
3.83,50742.27
8.39,54217.07
14.66,63019.25
9.5,58033.24
14.64,59572.69
4.8,43768.94
11.66,66937.12
17.29,81167.43
10.59,54535.05
12.74,74076.76
13.58,71852.35
14.79,61243.99
7.01,59151.39
12.54,61360.63
8.32,43586.36
7.82,63236.51
9.5,66740.77
8.16,50182.94
0.52,16790.92
14.84,69661.89
11.69,62403.71
2.75,44360.18
5.23,53651.5
12.22,69100.26
10.36,66462.13
14.47,73964.57
9.78,52263.64
16.89,72119.73
1.55,33005.19
12.26,75126.17
7.43,46923.33
6.14,55979.18
18.87,87975.44
17.28,86136.51
3.67,36091.56
1.15,38912.29
17.35,89649.2
3.39,36383.84
18.57,90590.33
5.55,34901.22
8.23,35948.23
0.9,23896.98
10.75,61075.1
3.77,42461.66
8.62,53870.43
18.39,85604.71
5.05,19099.58
12.7,73661.82
4.04,40827.44
12.2,74200.0
5.78,45458.9
13.63,81884.35
15.41,74539.32
17.61,86322.87
18.37,91225.72
4.83,47170.22
2.58,37360.86
0.97,32216.91
14.41,77575.48
3.74,36540.83
16.0,88221.76
19.3,79142.78
2.96,30324.28
5.67,57567.89
10.48,56303.84
8.61,54513.22
8.52,65918.34
4.34,39188.61
17.78,80573.99
13.63,82298.14
3.08,33456.06
0.09,23542.37
15.25,62544.89
0.32,25091.31
17.61,92092.93
10.59,58613.03
18.6,79855.2
15.44,75186.27
17.89,82682.39
14.88,75038.16
11.53,61222.38
3.46,50430.87
14.55,78354.08
11.85,52539.81
9.09,57398.04
11.17,63781.76
4.65,50813.75
8.09,52061.81
2.48,32215.91
8.2,68587.85
9.34,49134.73
17.16,91425.52
10.54,62413.71
18.18,84613.94
19.36,87569.33
0.98,39295.95
11.94,70522.49
5.98,50755.28
17.03,91710.98
9.88,62320.69
1.56,21978.05
4.3,27476.73
13.48,84489.32
1.59,32237.17
7.58,52169.6
17.43,100450.16
0.58,18529.23
13.92,53546.14
13.51,57791.44
6.41,43204.43
2.25,33827.56
2.05,43301.66
19.38,99591.7
13.54,51890.0
7.52,73724.93
16.67,80063.91
2.07,42055.97
2.54,38253.05
3.95,38872.18
15.27,76552.96
8.18,44723.76
12.85,59677.42
4.65,39941.68
15.55,68305.33
16.03,94299.87
8.27,54703.65
4.19,56391.47
12.6,65618.6
5.12,38205.32
2.97,40107.48
12.32,66031.58
10.26,68688.29
15.67,91347.74
5.85,54254.87
4.51,51686.52
12.81,76377.29
14.02,69681.81
8.27,63054.46
8.85,61545.99
2.47,28706.33
9.39,53932.04
19.23,91558.48
2.27,41850.68
11.36,65693.19
0.37,26242.17
6.51,46502.97
15.22,75453.32
11.34,55389.93
1.62,37041.06
9.04,48488.91
1.58,31076.31
7.47,47876.24
15.38,84957.51
5.16,40341.44
9.07,48687.31
10.01,67938.21
17.07,78121.38
2.43,34742.68
11.01,73719.7
0.62,21314.21
1.87,30705.48
4.41,37001.15
14.39,76431.6
0.82,27329.89
18.9,98518.03
8.55,49970.99
16.77,93899.12
4.44,53368.63
6.76,50699.11
14.54,69569.95
7.58,51214.93
10.15,59525.12
16.19,95826.59
13.02,69751.3
16.72,94573.7
1.73,31945.65
12.16,67931.58
12.02,44245.33
12.14,65408.16
11.78,73334.44
14.48,69823.84
16.88,91760.45
4.59,52598.84
2.09,27584.87
1.48,39842.05
3.17,44475.86
13.12,77870.38
8.33,49066.39
6.99,48509.01
18.2,87730.41
18.0,104737.73
10.78,62641.91
9.17,55628.72
5.41,34747.37
9.2,49418.3
8.22,48291.16
0.14,28377.33
15.17,66707.89
8.77,50373.1
4.46,25711.55
13.33,82853.55
8.95,57188.05
6.27,49444.4
4.62,32436.86
1.18,38430.26
10.06,72236.04
7.51,51816.48
0.81,23990.08
16.25,86286.43
16.17,87458.28
9.8,66264.47
16.78,89034.15
9.62,66382.33
3.38,31282.11
10.35,68527.13
6.25,43249.28
9.05,36586.09
19.41,89243.02
7.11,45455.93
4.32,42040.59
2.57,40702.54
17.68,88417.44
0.3,42114.79
18.15,84321.49
1.24,13422.34
15.05,79910.11
5.87,41196.75
5.0,33808.04
3.6,35215.21
2.69,28148.77
1.32,24158.12
3.1,48033.15
11.77,67188.01
11.39,62754.61
5.62,57456.14
13.6,70227.92
15.39,69033.0
19.6,83000.59
8.8,55143.88
7.49,38083.22
19.46,83742.59
18.84,87900.63
18.54,98941.86
12.18,77949.51
12.35,73518.4
18.56,89927.61
9.6,54024.09
4.27,43050.14
19.71,108223.84
16.84,85076.22
1.12,25227.76
2.25,31611.23
17.64,84614.69
6.02,50466.14
13.93,67637.62
2.36,36496.99
3.41,41482.65
14.95,80068.04
19.59,84860.47
10.04,58958.13
0.86,23789.76
4.69,40811.36
4.25,34556.18
18.71,100415.79
8.38,55835.6
18.95,78391.99
17.19,74533.19
9.02,66194.51
0.5,25299.62
19.46,89988.05
0.2,34733.33
17.12,83716.94
8.26,44365.2
6.03,37070.5
8.17,58601.14
7.14,66219.35
13.78,79954.87
11.45,62035.51
5.14,41169.59
10.55,62312.89
8.1,37186.76
18.41,89632.99
17.85,92139.19
12.35,82397.72
19.31,101301.62
7.5,66698.29
1.76,44602.57
0.95,39493.21
16.67,83550.78
7.67,54603.19
17.21,71857.8
9.17,58154.25
0.22,30311.44
10.57,59738.5
11.89,54285.15
9.03,69268.04
16.76,86910.96
12.88,83845.45
7.29,56469.13
14.38,86277.71
6.39,56677.65
16.77,78262.96
5.6,40535.49
13.33,68235.75
8.3,46325.58
2.02,46203.79
12.59,69417.49
7.66,55489.83
12.69,58750.2
10.8,69341.92
0.83,24636.03
4.1,49436.25
14.01,68546.19
9.35,68391.01
9.33,65179.74
0.05,21442.38
6.06,57538.6
13.39,81053.03
17.74,91006.22
11.48,57231.56
10.81,69246.07
9.41,58450.11
13.57,72888.47
15.96,81459.82
4.41,40206.89
14.28,68053.36
4.88,29946.95
0.64,13451.81
1.49,32622.33
0.93,8867.41
5.6,50421.93
2.54,37951.46
1.7,28542.47
2.95,43543.32
0.76,25593.31
6.87,52397.15
16.46,66931.74
11.08,45829.92
1.3,27665.04
7.5,54627.48
8.6,62690.52
3.45,35650.71
7.46,53083.37
6.74,54862.77
9.88,58544.51
13.95,78508.52
9.58,49488.11
1.48,16925.33
1.1,24595.1
17.76,93355.16
13.9,67945.13
13.14,76209.01
18.26,80708.29
10.83,58245.3
1.47,32096.95
14.29,69667.57
3.25,32375.4
13.32,50766.31
8.01,59763.51
0.56,26027.01
1.11,21324.45
7.85,67145.21
11.89,60304.95
3.42,32838.5
2.13,24778.21
7.52,60166.3
16.08,92762.98
15.68,90551.53
13.68,83484.69
8.51,49996.5
8.84,69315.06
4.52,39251.23
2.74,22258.88
0.32,22696.99
17.2,87818.13
9.92,54574.32
0.06,26388.19
10.58,66334.86
5.17,46367.58
8.55,60156.45
13.45,70628.39
16.19,75863.83
14.01,62272.35
17.93,87036.87
4.69,37134.39
13.23,70349.62
17.8,68640.75
6.17,34447.51
15.99,85041.45
18.8,77731.24
12.88,68551.1
3.29,29852.15
5.22,36105.59
13.6,73281.08
17.32,85860.76
0.48,31033.2
6.53,39027.15
4.67,34274.24
8.44,63530.12
15.37,76996.39
10.06,63123.5
10.37,57303.39
12.18,71273.77
10.31,41187.16
13.77,82389.51
2.14,28850.31
0.46,16604.72
16.54,74375.32
9.58,56414.85
5.97,45010.0
9.09,57930.91
13.0,60965.19
2.43,40488.57
10.47,57458.61
2.21,28155.06
17.19,83359.71
11.25,69669.53
16.22,81488.97
14.42,71131.63
16.31,79477.94
6.84,58679.77
2.79,43205.35
17.83,90339.05
17.69,88113.64
17.67,105337.95
19.79,97957.14
11.92,68176.61
10.25,59258.09
15.95,83667.63
2.2,8347.39
15.66,88035.02
16.24,71681.66
11.54,59658.81
7.76,40952.93
13.12,65044.58
18.3,86328.63
3.16,43172.31
6.22,57089.71
13.43,87528.27
16.66,84143.1
13.04,68892.33
11.82,72595.52
1.71,24168.73
8.67,47633.36
17.8,84374.52
7.23,50044.11
7.62,35135.55
7.15,58564.62
7.25,52312.99
8.1,59718.7
15.47,66571.61
9.1,51533.85
12.14,61769.78
8.85,54347.48
17.48,85899.89
3.57,44469.14
2.46,34393.24
8.15,47609.87
19.49,110701.85
14.0,71861.19
12.33,60884.32
7.81,37242.21
5.9,46383.92
19.13,97486.6
8.54,45764.61
14.22,79775.87
16.21,82399.8
13.15,56839.65
4.65,46287.89
5.76,43038.46
0.46,17599.93
19.39,100511.71
16.69,90928.63
8.08,44098.48
17.85,89817.09
3.07,37383.82
0.84,27399.28
2.71,30345.28
17.67,85651.98
3.21,43742.38
1.36,33042.05
3.71,22565.34
8.3,58322.12
9.93,44893.28
4.72,30648.5
16.11,75358.8
19.2,88567.49
5.82,44834.05
18.62,89905.43
16.36,81865.51
17.72,96170.46
1.19,15765.34
16.68,86054.59
11.72,68647.55
0.77,17576.63
15.07,82025.8
4.83,44900.63
15.94,80449.28
12.52,49477.69
9.85,67173.5
0.47,28450.34
17.79,90505.86
2.95,8203.72
16.59,78826.5
13.76,61701.86
1.39,40217.47
10.84,54114.89
19.24,104156.89
18.46,97219.41
2.93,37011.68
3.46,46205.96
3.07,28199.05
15.12,71810.09
3.22,43631.67
1.29,22002.2
7.81,41716.72
19.34,90111.89
6.17,39521.07
14.48,90619.61
2.88,41280.15
12.42,63872.33
11.62,57670.68
18.08,91001.44
14.33,84659.36
2.42,35782.21
8.1,45727.77
0.01,13545.32
4.82,38845.06
19.43,95519.67
9.11,53138.02
17.35,93792.14
0.47,30878.41
17.6,88502.84
17.79,91317.31
13.07,59627.1
2.33,29151.72
17.52,77999.15
18.0,91065.57
4.02,30873.18
18.8,91466.96
17.62,85356.81
4.1,44141.29
7.88,42994.09
6.73,52181.61
9.96,51320.03
17.78,79515.46
17.49,85063.55
3.51,46851.73
11.02,56846.49
10.68,48159.94
9.01,48965.68
14.29,71948.39
12.92,85170.25
5.5,47364.17
6.96,43345.99
17.77,86055.62
6.52,60371.78
8.88,54162.96
19.46,91275.76
17.15,81766.16
13.98,79495.93
6.08,42078.4
12.57,75990.79
12.84,78443.58
8.23,58717.27
0.72,25734.64
7.33,39469.24
10.16,58777.55
19.0,86161.37
14.55,69692.56
2.16,30639.92
6.03,49933.45
10.43,56535.39
9.02,45579.57
0.1,17688.62
18.7,103979.77
18.08,92672.71
18.47,82000.25
8.57,65310.87
16.67,81416.61
14.17,92821.82
10.23,62918.56
1.54,34923.4
3.36,43447.95
4.76,53564.14
17.92,84201.7
13.31,82772.2
19.66,88821.83
11.33,61758.67
1.69,31000.7
9.56,65806.87
2.24,30183.21
18.03,101301.2
5.57,55102.01
3.95,39125.67
10.23,53085.79
16.14,89505.03
10.21,43959.33
0.76,33605.52
14.86,70416.33
0.68,37435.1
12.09,56219.98
12.34,62887.79
4.17,43101.51
8.93,61073.17
0.12,20424.64
5.67,42200.56
12.39,75975.68
5.68,52946.22
0.95,25520.08
13.49,67341.43
14.85,66015.51
17.26,87438.13
17.51,92789.25
9.93,60953.03
8.15,46115.17
11.72,80302.72
15.85,63659.61
9.51,65299.06
19.9,96395.37
12.75,73375.52
6.16,40272.82
15.87,79340.31
3.02,37900.45
18.72,89818.54
6.81,34474.53
13.7,86653.35
12.51,73973.15
1.92,31987.86
14.43,76306.1
6.24,60297.21
7.62,45740.83
1.93,24010.85
16.2,88506.52
17.21,88920.57
2.69,26319.63
16.25,90592.32
17.96,90219.64
1.95,24626.94
19.95,98742.54
0.09,28044.07
16.85,83264.04
11.17,67154.84
19.15,97019.38
6.76,55980.53
7.22,51117.72
16.81,81661.53
14.21,76660.51
12.01,76563.32
12.89,75146.38
13.65,70170.85
0.96,28794.14
2.36,46570.11
3.63,43682.32
3.54,38589.58
16.86,93126.49
7.89,48270.97
9.79,61890.93
1.79,46262.74
17.41,91169.91
0.21,38685.25
1.67,30160.65
16.24,78038.03
2.61,43423.54
15.87,65908.51
7.01,50970.75
15.52,87573.86
1.01,33024.97
6.83,32068.34
9.63,47921.21
12.51,67884.24
16.72,87334.33
4.89,46225.85
13.18,-2447.96
3.04,41465.85
15.9,84156.92
18.66,89296.6
0.95,32610.36
1.6,25410.33
15.75,85222.43
17.6,79840.88
12.96,74274.81
9.22,60985.94
15.38,76443.7
5.99,51059.25
19.84,106764.38
16.96,76199.42
17.74,94732.89
17.1,93533.74
18.66,88643.95
1.29,35921.84
18.17,86567.36
4.97,52451.82
7.18,28230.5
7.41,62499.04
4.65,32372.14
8.77,56409.57
10.11,53874.79
2.97,47378.57
7.19,48333.85
6.96,45033.42
13.49,81188.36
11.62,71511.96
14.32,72458.57
15.68,71946.53
13.34,62680.47
4.82,52087.66
10.04,63499.81
9.33,59047.53
1.48,34121.35
17.89,72024.48
1.83,28804.27
19.53,90967.23
0.63,35073.3
14.59,64324.79
5.75,53559.41
18.09,102685.56
16.48,68929.51
0.5,26883.99
0.44,54825.15
12.06,74207.84
2.99,18155.16
0.28,28692.04
19.36,90993.4
12.66,67034.17
0.22,42310.72
9.81,57611.91
3.15,39626.42
16.1,80400.1
0.57,28937.57
7.42,55385.22
4.76,48808.7
19.62,87445.34
1.56,31688.82
14.4,76895.94
9.56,45277.63
16.33,74524.99
4.28,47124.51
17.11,81177.62
19.01,112421.73
4.26,47622.09
4.85,45606.92
19.27,104539.91
8.68,61570.7
16.7,84940.86
16.85,72656.74
6.22,52082.38
3.58,48688.66
7.33,45914.15
11.84,51825.0
9.94,51241.7
14.74,90648.05
10.98,64058.22
16.11,93064.18
2.08,32428.01
8.78,51764.43
0.32,43201.15
2.42,30483.55
6.63,46212.96
18.03,91790.75
7.6,49290.07
5.47,50368.04
13.42,75522.68
14.07,78127.18
9.63,53759.85
5.77,31897.12
6.04,39469.23
3.71,32036.2
7.25,52722.31
3.37,30257.08
12.86,58282.2
17.89,78455.53
5.09,45898.64
4.84,47454.41
17.96,83817.57
11.36,61561.75
14.6,80996.08
17.78,88563.31
13.3,81036.67
14.85,75710.84
7.74,45434.78
18.76,99363.07
14.08,71782.64
1.43,23708.61
11.9,73807.68
1.89,43219.95
10.44,63014.3
1.77,23159.85
12.54,81185.14
9.13,59959.37
11.06,65473.44
12.98,67194.76
5.01,51562.98
6.39,38498.75
9.64,49114.94
11.33,79797.86
18.47,82755.85
7.04,57310.68
11.83,77448.61
18.45,91259.47
14.36,68199.73
6.57,53022.15
8.29,65163.63
17.58,89254.76
8.75,49666.43
5.04,45091.6
10.46,50537.93
3.72,30230.55
11.64,63674.03
19.83,94897.31
19.39,83233.34
12.28,69963.85
17.73,91212.83
16.3,80342.9
19.01,74281.23
17.46,86952.37
18.0,102507.15
4.59,44730.11
3.16,36186.3
0.88,25098.43
13.19,75768.36
18.67,92012.94
19.88,100227.99
17.05,75893.3
16.62,84141.42
10.38,57632.23
9.04,59609.83
12.81,54257.57
0.45,23447.68
15.89,84942.26
13.15,76653.66
3.4,36659.52
12.71,52215.52
11.99,72093.58
15.76,92833.12
16.75,76913.16
5.07,39332.38
16.29,88465.76
3.64,44412.69
7.88,61371.17
9.85,67602.34
16.1,69087.5
18.02,84240.6
0.34,31216.67
14.74,75917.78
17.55,89353.61
19.09,90757.99
5.36,40265.47
3.46,35172.24
9.98,50951.53
18.02,82282.54
6.31,46557.46
10.1,59964.25
19.91,99229.34
9.12,54640.91
12.57,82383.71
19.91,104531.1
7.35,46689.19
5.46,45687.59
5.65,54494.5
12.34,63065.29
3.25,30407.36
3.29,46911.21
5.2,48740.37
10.82,71455.92
16.88,86615.76
10.59,60009.84
15.65,69049.8
19.15,93123.83
14.8,86656.85
12.86,79945.63
0.16,34139.66
8.97,62686.58
5.36,61452.02
10.25,48455.82
19.02,93423.46
6.41,39937.19
3.22,48674.27
16.52,78391.7
19.81,102408.83
15.6,76010.26
2.77,38049.56
11.01,62680.5
8.1,53253.04
12.67,72009.34
13.37,79158.91
16.14,80621.79
4.8,48936.95
19.29,100830.17
4.29,36691.38
2.48,48768.4
16.58,88982.43
9.26,53976.11
9.8,64228.31
6.37,55618.89
0.93,32966.36
3.87,40167.06
15.23,50703.44
4.49,32969.6
19.85,99915.38
15.72,72138.04
16.97,88512.22
17.47,93207.53
14.38,74422.4
9.32,43515.46
18.34,83296.85
8.53,60335.08
1.92,41763.03
11.93,50097.93
2.11,33036.02
13.11,59137.18
19.95,95550.47
13.5,71008.38
4.21,58621.77
2.76,30339.81
7.13,-31078.75
2.92,43275.22
11.39,63319.42
